"summary_type","group_1","group_2","n","mean_total","sd_total"
"weight_class_summary","F","55.5",6,260.083333333333,21.7954505956327
"weight_class_summary","F","56",1498,281.836255006676,61.013651685321
"weight_class_summary","F","57",2442,319.2585995086,61.1509637741559
"weight_class_summary","F","57+",1,277.5,NA
"weight_class_summary","F","58",13,257.384615384615,83.3312051010289
"weight_class_summary","F","58.5",12,264.625,47.2311169579008
"weight_class_summary","F","59",7,276.571428571429,49.3046892389799
"weight_class_summary","F","60",2031,298.545667159035,65.2214717774994
"weight_class_summary","F","60.1",2,208.655,38.4878220999838
"weight_class_summary","F","63",3435,329.348762736536,66.841706153355
"weight_class_summary","F","63+",6,345.416666666667,36.4148550274015
"weight_class_summary","F","64",28,297.035714285714,63.0810660933287
"weight_class_summary","F","65",1198,312.367111853088,69.8854336618233
"weight_class_summary","F","67.5",2110,312.443203791469,69.1563265872157
"weight_class_summary","F","67.5+",2,531.25,90.1561146012848
"weight_class_summary","F","69",3571,350.355418650238,68.6349727160553
"weight_class_summary","F","69+",16,323.28125,58.2002201456318
"weight_class_summary","F","70",1115,323.07399103139,71.4646787606227
"weight_class_summary","F","72",29,302.137931034483,80.7410871409926
"weight_class_summary","F","75",2963,331.641893351333,74.2701722018474
"weight_class_summary","F","76",2866,362.413293789253,73.2797687212627
"weight_class_summary","F","76+",16,366.9375,59.2224267767991
"weight_class_summary","F","80",16,332.59375,74.5547268230973
"weight_class_summary","F","82",9,370.111111111111,51.4598009237415
"weight_class_summary","F","82+",5,320.2,37.2266705468002
"weight_class_summary","F","82.3",1,83.91,NA
"weight_class_summary","F","82.5",2457,338.894265364265,74.3795401819528
"weight_class_summary","F","82.5+",1,238.14,NA
"weight_class_summary","F","83",1,370,NA
"weight_class_summary","F","84",1919,368.646982803543,79.8843457724634
"weight_class_summary","F","84+",1937,378.432369643779,90.1242589188572
"weight_class_summary","F","90",1779,349.064496908375,77.7342130971985
"weight_class_summary","F","90+",116,366.730603448276,100.364026123072
"weight_class_summary","F","97",2,337.5,0
"weight_class_summary","F","100",1318,356.967974203338,78.8375527764764
"weight_class_summary","F","100+",689,369.208272859216,84.0140134251969
"weight_class_summary","F","110",489,367.344355828221,84.4840090604755
"weight_class_summary","F","110+",333,380.062762762763,88.5969029663888
"weight_class_summary","F","117.5",1,315.25,NA
"weight_class_summary","F","125",99,376.791616161616,76.713165723496
"weight_class_summary","F","140",46,397.521739130435,104.259129977067
"weight_class_summary","F","140+",20,412.55,87.1864155280602
"weight_class_summary","M","30",15,117.7,21.2046154005611
"weight_class_summary","M","33",1,127.5,NA
"weight_class_summary","M","35",33,121.333333333333,29.3993693243013
"weight_class_summary","M","40",28,137.260714285714,25.2606316346605
"weight_class_summary","M","44",18,168.458888888889,43.5842370168375
"weight_class_summary","M","48",26,157.76,47.8830659001698
