"Sex","Age","from_class","to_class","mean","q05","q95"
"F",40,"67.5","69",6.31942019694436,3.83521665755616,6.63407907705964
"F",60,"67.5","69",6.31942019694436,3.83521665755621,6.63407907705964
"F",25,"69","70",2.24485397235486,1.37356743268365,2.3546060391376
"F",40,"69","70",2.24485397235486,1.37356743268365,2.3546060391376
"F",60,"69","70",2.24485397235486,1.37356743268365,2.3546060391376
"F",25,"70","75",14.5949945372818,9.0852761776102,15.2843815047509
"F",40,"70","75",14.5949945372818,9.0852761776102,15.2843815047508
"F",60,"70","75",14.5949945372818,9.08527617761015,15.2843815047509
"F",25,"75","76",3.98168065593994,2.52915387818112,4.1622419928189
"F",40,"75","76",3.98168065593994,2.52915387818112,4.1622419928189
"F",60,"75","76",3.98168065593994,2.52915387818113,4.1622419928189
"F",25,"76","82.5",17.5289793589193,11.4190680620151,18.2800689303482
"F",40,"76","82.5",17.5289793589193,11.4190680620151,18.2800689303482
"F",60,"76","82.5",17.5289793589193,11.4190680620152,18.2800689303483
"F",25,"82.5","84",4.77184386237729,3.1952745061926,4.9642624440142
"F",40,"82.5","84",4.77184386237729,3.1952745061926,4.9642624440142
"F",60,"82.5","84",4.77184386237729,3.1952745061926,4.96426244401415
"F",25,"84","90",15.6877257945064,10.7986632943075,16.2869250909573
"F",40,"84","90",15.6877257945064,10.7986632943075,16.2869250909573
"F",60,"84","90",15.6877257945064,10.7986632943075,16.2869250909572
"F",25,"90","100",23.9725525847356,17.5179831050471,24.7997664310674
"F",40,"90","100",23.9725525847356,17.5179831050471,24.7997664310674
"F",60,"90","100",23.9725525847356,17.5179831050471,24.7997664310674
"F",25,"100","110",21.5663830897675,17.097948901709,22.2480002410487
"F",40,"100","110",21.5663830897675,17.097948901709,22.2480002410487
"F",60,"100","110",21.5663830897675,17.097948901709,22.2480002410487
"M",25,"52","53",8.37025927601544,4.64745175939223,8.86519648243187
"M",40,"52","53",8.37025927601544,4.64745175939229,8.86519648243187
"M",60,"52","53",8.37025927601544,4.64745175939218,8.86519648243198
"M",25,"53","56",10.3614978445389,5.8337561551196,10.9580380938927
"M",40,"53","56",10.3614978445389,5.83375615511954,10.9580380938927
"M",60,"53","56",10.3614978445389,5.83375615511954,10.9580380938927
"M",25,"56","59",11.5297543136165,6.60303547416973,12.1721649283365
"M",40,"56","59",11.5297543136165,6.60303547416973,12.1721649283365
"M",60,"56","59",11.5297543136165,6.60303547416973,12.1721649283365
"M",25,"59","60",2.58166306350477,1.49543784073863,2.72254407336179
"M",40,"59","60",2.58166306350477,1.49543784073863,2.72254407336179
"M",60,"59","60",2.58166306350477,1.49543784073863,2.72254407336185
"M",25,"60","66",20.3007785395216,11.9922605743504,21.3700241191468
"M",40,"60","66",20.3007785395216,11.9922605743504,21.3700241191468
"M",60,"60","66",20.3007785395216,11.9922605743504,21.3700241191468
"M",25,"66","67.5",3.26559563322455,1.97011748553489,3.43036229905754
"M",40,"66","67.5",3.26559563322455,1.97011748553489,3.43036229905749
"M",60,"66","67.5",3.26559563322455,1.97011748553489,3.43036229905749
"M",25,"67.5","74",21.2832246336355,13.1506437218101,22.3025577781576
"M",40,"67.5","74",21.2832246336355,13.1506437218101,22.3025577781576
"M",60,"67.5","74",21.2832246336355,13.1506437218101,22.3025577781576
"M",25,"74","75",2.08948917915499,1.32368368384758,2.18476379031653
"M",40,"74","75",2.08948917915499,1.32368368384758,2.18476379031653
"M",60,"74","75",2.08948917915499,1.32368368384758,2.18476379031653
"M",25,"75","82.5",21.5444702896615,14.0324125510843,22.4679700767303
"M",40,"75","82.5",21.5444702896615,14.0324125510843,22.4679700767303
"M",60,"75","82.5",21.5444702896615,14.0324125510843,22.4679700767303
"M",25,"82.5","83",2.20941969051132,1.48170396198588,2.29812894854041
"M",40,"82.5","83",2.20941969051132,1.48170396198588,2.29812894854041
"M",60,"82.5","83",2.20941969051132,1.48170396198588,2.29812894854041
"M",25,"83","90",18.5327934667176,12.7846754322102,19.2367573641781
"M",40,"83","90",18.5327934667176,12.7846754322102,19.2367573641781
"M",60,"83","90",18.5327934667176,12.7846754322102,19.2367573641781
"M",25,"90","93",7.61291647904372,5.45449199183938,7.88429869709553
"M",40,"90","93",7.61291647904372,5.45449199183938,7.88429869709553
"M",60,"90","93",7.61291647904372,5.45449199183938,7.88429869709553
"M",25,"93","100",16.0482044406586,11.9493578815447,16.5942813167606
"M",40,"93","100",16.0482044406586,11.9493578815447,16.5942813167606
